round,loss,map50,map50_95,precision,recall,num_examples,elapsed_seconds
23,0.7531657074288847,0.24683429257111528,0.18828763950363506,0.4034890155457944,0.2864862210613016,300,7417.086363100039
24,0.7681227410901408,0.23187725890985916,0.17180333923177288,0.3944052236181041,0.2842170643604157,300,7734.951751300017
25,0.7603942079665446,0.23960579203345542,0.178727410882789,0.4212251268493027,0.28308856546245587,300,8052.900367000024
26,0.7591641538658933,0.24083584613410663,0.18086009017255178,0.39222856855402227,0.2707047214838533,300,8376.874609399994
27,0.7601577662634645,0.2398422337365355,0.17772581630055584,0.3619619212030011,0.2823763498770434,300,8696.303947100008
28,0.7691961739533488,0.23080382604665112,0.1730303326403048,0.3441868900220803,0.3004654743341086,300,9014.526460000023
29,0.7574182200707589,0.24258177992924107,0.18225340811280608,0.42032324823223555,0.27167571934483653,300,9337.139917000022
30,0.7659278186554153,0.23407218134458474,0.17502598031121022,0.35115581486720066,0.279552672705113,300,9648.31483779999
31,0.7645867359798596,0.23541326402014043,0.17636834847247598,0.39078064994414163,0.27807462677201406,300,9954.491739400022
32,0.7573710304474977,0.2426289695525024,0.18278169655689588,0.36945133748770836,0.28954925430772604,300,10245.451162300014
33,0.763955137895945,0.236044862104055,0.17641363093897422,0.3783471139079438,0.2953873343187379,300,10534.78470280004
34,0.766252358169598,0.23374764183040195,0.17548355249585135,0.4072409300979401,0.26189925324458374,300,10825.970054100035
35,0.7496491597109372,0.25035084028906285,0.18780263415518914,0.3621259059612201,0.29165401692757614,300,11114.922941100027
36,0.7625645905717534,0.23743540942824662,0.18133398602143416,0.3528381680329865,0.2955116317893638,300,11405.033471700037
37,0.7531469417502181,0.24685305824978188,0.18566639268773333,0.42818368822500547,0.25122606020824534,300,11695.368167900015
38,0.7648647561099138,0.23513524389008628,0.17498797855203882,0.3517436881562291,0.3092472225342313,300,11984.115388100035
39,0.7681060359360925,0.2318939640639075,0.17431078841595024,0.3488936777094854,0.3045341707929002,300,12272.805936600023
40,0.7702004509877477,0.22979954901225227,0.16505345863482712,0.4983342760963227,0.23768538180216256,300,12562.935776700033
41,0.7630565124450143,0.2369434875549857,0.17612007096822055,0.3720196227105659,0.2730613355204964,300,12851.433204600005
42,0.7558280940065558,0.24417190599344424,0.18157421014918593,0.476224815094091,0.25825092643146375,300,13140.747861700016
43,0.7589551195195359,0.24104488048046413,0.1757681976616055,0.36198429319274983,0.29443442629500616,300,13430.59439350001
44,0.7576306460860354,0.24236935391396464,0.18091458792851733,0.45423540021080955,0.25187746702627345,300,13721.329475100036
45,0.76358149029863,0.23641850970137002,0.1770720010967528,0.33985537991807374,0.32985886388305213,300,14011.659796699998
46,0.7514179227535323,0.24858207724646775,0.1854222783160843,0.33395209236716844,0.339326973880645,300,14302.497981699998
47,0.7624806143565614,0.23751938564343855,0.17730073037137703,0.43188073905594837,0.2800386057775788,300,14593.67948739999
48,0.7560526097386506,0.24394739026134932,0.18406338978447384,0.4358155267156927,0.29097131955946137,300,14883.599614800012
49,0.7507187950481256,0.2492812049518744,0.19027396404330318,0.36074159558345903,0.30228176305069343,300,15172.994436800014
50,0.7619231428202123,0.23807685717978763,0.17754151360292336,0.3706098460651663,0.30185400897602566,300,15462.72697670001
